a,b
6990,0.94097
7000,0.94325
7010,0.94051
7020,0.94274
7030,0.95354
7040,0.95412
7050,0.94982
7060,0.95078
7070,0.95245
7080,0.95424
7090,0.95781
7100,0.95422
7110,0.95809
7120,0.9614
7130,0.95894
7140,0.95819
7150,0.95416
7160,0.95001
7170,0.92211
7180,0.90467
7190,0.89843
7200,0.88863
7210,0.93099
7220,0.9457
7230,0.93754
7240,0.91384
7250,0.91754
7260,0.91644
7270,0.91988
7280,0.91619
7290,0.92539
7300,0.92379
7310,0.92185
7320,0.93723
7330,0.95172
7340,0.95863
7350,0.95622
7360,0.9517
7370,0.95516
7380,0.9599
7390,0.96195
7400,0.96644
7410,0.96904
7420,0.97015
7430,0.97255
7440,0.97366
7450,0.97452
7460,0.9752
7470,0.97542
7480,0.97607
7490,0.97642
7500,0.97634
7510,0.97652
7520,0.97709
7530,0.97737
7540,0.9776
7550,0.97778
7560,0.97797
7570,0.9781
7580,0.97688
7590,0.92143
7600,0.48306
7610,0.43817
7620,0.70221
7630,0.62249
7640,0.66217
7650,0.75066
7660,0.85484
7670,0.90648
7680,0.93993
7690,0.96189
7700,0.9734
7710,0.9791
7720,0.98046
7730,0.98108
7740,0.98184
7750,0.98223
7760,0.98251
7770,0.98262
7780,0.98266
7790,0.98268
7800,0.98269
7810,0.98295
7820,0.98295
7830,0.98297
7840,0.98283
7850,0.98187
7860,0.98034
7870,0.97693
7880,0.97516
7890,0.9687
7900,0.96818
7910,0.96944
7920,0.9706
7930,0.97326
7940,0.97887
7950,0.97548
7960,0.96638
7970,0.96902
7980,0.97481
7990,0.97352
8000,0.96935
8010,0.96988
8020,0.96947
8030,0.97011
8040,0.9721
8050,0.97589
8060,0.97816
8070,0.97828
8080,0.97703
8090,0.9755
8100,0.97382
8110,0.97033
8120,0.96563
8130,0.95984
8140,0.95215
8150,0.94253
8160,0.92997
8170,0.93075
8180,0.93181
8190,0.93595
8200,0.94975
8210,0.96537
8220,0.95354
8230,0.91986
8240,0.94832
8250,0.96627
8260,0.96318
8270,0.96094
8280,0.94912
8290,0.95342
8300,0.9582
8310,0.95932
8320,0.95978
8330,0.96251
8340,0.96572
8350,0.97207
8360,0.97002
8370,0.9698
8380,0.97291
8390,0.97479
8400,0.97548
8410,0.97346
8420,0.9753
8430,0.97963
8440,0.98159
8450,0.98251
8460,0.98348
8470,0.98455
8480,0.98283
8490,0.98308
8500,0.98223
8510,0.98123
8520,0.98135
8530,0.98306
8540,0.98298
8550,0.98384
8560,0.98563
8570,0.98638
8580,0.98679
8590,0.98765
8600,0.98808
8610,0.98816
8620,0.9884
8630,0.98845
8640,0.98862
8650,0.98877
8660,0.98882
8670,0.98882
8680,0.98886
8690,0.98893
8700,0.98892
8710,0.98898
8720,0.98909
8730,0.98902
8740,0.98899
8750,0.989
8760,0.98886
8770,0.98879
8780,0.98826
8790,0.98824
8800,0.98778
8810,0.98753
8820,0.98729
8830,0.98756
8840,0.98768
8850,0.98672
8860,0.98537
8870,0.98644
8880,0.9864
8890,0.98675
8900,0.98598
8910,0.98437
8920,0.98094
8930,0.9704
8940,0.96518
8950,0.94887
8960,0.93416
8970,0.91853
8980,0.91117
8990,0.8898
9000,0.893
9010,0.88736
9020,0.8883
9030,0.92411
9040,0.94545
9050,0.94462
9060,0.9313
9070,0.9074
9080,0.89141
9090,0.89216
9100,0.89461
9110,0.90527
9120,0.90012
9130,0.8775
9140,0.88872
9150,0.89746
9160,0.89978
9170,0.90444
9180,0.91047
9190,0.93088
9200,0.94603
9210,0.94265
9220,0.94235
9230,0.93812
9240,0.92789
9250,0.92715
9260,0.9272
9270,0.91541
9280,0.89704
9290,0.86999
9300,0.83459
9310,0.79357
9320,0.73838
9330,0.69412
9340,0.6458
9350,0.64081
9360,0.66082
9370,0.65545
9380,0.70804
9390,0.83405
9400,0.85137
9410,0.83599
9420,0.79779
9430,0.73111
9440,0.72649
9450,0.75136
9460,0.75249
9470,0.77351
9480,0.78568
9490,0.7838
9500,0.78683
9510,0.81376
9520,0.78442
9530,0.80453
9540,0.82563
9550,0.80794
9560,0.80346
9570,0.85653
9580,0.86293
9590,0.85403
9600,0.8513
9610,0.84678
9620,0.8506
9630,0.87879
9640,0.88267
9650,0.87986
9660,0.88122
9670,0.9008
9680,0.93277
9690,0.94688
9700,0.94758
9710,0.94723
9720,0.94324
9730,0.93393
9740,0.92245
9750,0.91501
9760,0.9241
9770,0.93895
9780,0.93769
9790,0.94144
9800,0.95632
9810,0.95955
9820,0.9562
9830,0.96374
9840,0.97146
9850,0.97582
9860,0.98142
9870,0.98383
9880,0.98437
9890,0.98471
9900,0.9853
9910,0.98737
9920,0.98797
9930,0.98819
9940,0.99007
9950,0.99135
9960,0.99134
9970,0.99054
9980,0.98959
9990,0.98925
10000,0.98955
11000,0.98955
12000,0.98955
