a,b,c
591,0.7396,0.2265
592,0.7149,0.2500
593,0.6905,0.2746
594,0.6662,0.2999
595,0.6423,0.3253
596,0.6193,0.3505
597,0.5972,0.3749
598,0.5772,0.3980
599,0.5586,0.4193
600,0.5425,0.4390
601,0.5278,0.4567
602,0.5147,0.4727
603,0.5029,0.4868
604,0.4922,0.4994
605,0.4822,0.5110
606,0.4722,0.5221
607,0.4617,0.5331
608,0.4504,0.5442
609,0.4382,0.5559
610,0.4251,0.5682
611,0.4113,0.5815
612,0.3968,0.5958
613,0.3813,0.6110
614,0.3655,0.6268
615,0.3499,0.6430
616,0.3337,0.6595
617,0.3178,0.6760
618,0.3019,0.6925
619,0.2861,0.7090
620,0.2703,0.7254
621,0.2541,0.7416
622,0.2378,0.7577
623,0.2210,0.7740
624,0.2041,0.7904
625,0.1868,0.8073
626,0.1693,0.8241
627,0.1518,0.8409
628,0.1345,0.8574
629,0.1181,0.8736
630,0.1026,0.8892
631,0.0884,0.9040
632,0.0756,0.9174
633,0.0644,0.9294
634,0.0547,0.9403
635,0.0465,0.9497
636,0.0399,0.9574
637,0.0344,0.9640
638,0.0301,0.9695
639,0.0260,0.9740
640,0.0224,0.9776
641,0.0193,0.9807
642,0.0170,0.9830
643,0.0148,0.9852
644,0.0129,0.9871
645,0.0118,0.9882
646,0.0109,0.9891
647,0.0099,0.9901
648,0.0088,0.9912
649,0.0084,0.9916
650,0.0082,0.9918
651,0.0080,0.9920
652,0.0083,0.9917
653,0.0085,0.9915
654,0.0089,0.9911
655,0.0099,0.9901
656,0.0111,0.9889
657,0.0122,0.9878
658,0.0135,0.9865
659,0.0149,0.9851
660,0.0159,0.9841
661,0.0171,0.9829
662,0.0181,0.9819
663,0.0184,0.9816
664,0.0184,0.9816
665,0.0185,0.9815
666,0.0185,0.9815
667,0.0184,0.9816
668,0.0180,0.9820
669,0.0171,0.9829
670,0.0165,0.9835
671,0.0161,0.9839
672,0.0161,0.9839
673,0.0157,0.9843
674,0.0149,0.9851
675,0.0142,0.9858
676,0.0139,0.9861
677,0.0138,0.9862
678,0.0135,0.9865
679,0.0133,0.9867
680,0.0130,0.9870
681,0.0130,0.9870
682,0.0132,0.9868
683,0.0134,0.9866
684,0.0138,0.9862
