350.0000000000,0.5287846482
360.1871101871,0.5992091813
370.7380457380,0.6589749500
380.5613305613,0.7080753051
390.3846153846,0.7529112678
400.2079002079,0.7913506421
410.7588357588,0.8276622530
423.8565488565,0.8661215751
434.4074844075,0.8875078129
447.5051975052,0.9110417618
461.3305613306,0.9239191627
474.4282744283,0.9282633462
492.2557172557,0.9283719508
508.6278586279,0.9199429050
526.4553014553,0.9029939403
542.4636174636,0.8860338935
558.8357588358,0.8648116708
574.8440748441,0.8414550355
589.0332640333,0.8180873181
603.2224532225,0.7904552084
615.2286902287,0.7692063886
630.1455301455,0.7394465156
641.4241164241,0.7160610668
653.4303534304,0.6884156586
668.7110187110,0.6543936096
684.3555093555,0.6182415809
699.6361746362,0.5756907473
