a,b
1171.00,4.5612e-15
1172.00,4.2953e-15
1173.00,3.8903e-15
1174.00,3.5572e-15
1175.00,3.1403e-15
1176.00,3.3295e-15
1177.00,3.2256e-15
1178.00,4.1417e-15
1179.00,4.3287e-15
1180.00,4.3672e-15
1181.00,4.3844e-15
1182.00,4.4863e-15
1183.00,4.1856e-15
1184.00,4.2217e-15
1185.00,4.0983e-15
1186.00,4.1191e-15
1187.00,4.2741e-15
1188.00,3.8587e-15
1189.00,3.4299e-15
1190.00,2.7584e-15
1191.00,2.6423e-15
1192.00,2.4880e-15
1193.00,2.8702e-15
1194.00,3.4914e-15
1195.00,4.3009e-15
1196.00,4.3850e-15
1197.00,4.3943e-15
1198.00,4.1856e-15
1199.00,3.8747e-15
1200.00,3.6217e-15
1201.00,3.3374e-15
1202.00,3.2222e-15
1203.00,3.0462e-15
1204.00,2.7230e-15
1205.00,2.5183e-15
1206.00,2.1498e-15
1207.00,2.1457e-15
1208.00,2.2443e-15
1209.00,2.8263e-15
1210.00,2.7858e-15
1211.00,2.5667e-15
1212.00,3.1320e-15
1213.00,4.2213e-15
1214.00,6.3258e-15
1215.00,1.1290e-14
1216.00,2.2279e-14
1217.00,2.9801e-14
1218.00,2.5444e-14
1219.00,1.5254e-14
1220.00,8.3120e-15
1221.00,5.4512e-15
1222.00,4.6993e-15
1223.00,4.6500e-15
1224.00,5.0541e-15
1225.00,4.8827e-15
1226.00,5.0769e-15
1227.00,5.1671e-15
1228.00,5.0876e-15
1229.00,4.8504e-15
1230.00,5.1043e-15
1231.00,5.1420e-15
1232.00,5.3755e-15
1233.00,5.3375e-15
1234.00,5.4922e-15
1235.00,5.6270e-15
1236.00,5.4393e-15
1237.00,5.3189e-15
1238.00,5.6381e-15
1239.00,5.6761e-15
1240.00,5.8329e-15
1241.00,6.2963e-15
1242.00,6.4474e-15
1243.00,6.9944e-15
1244.00,7.1435e-15
1245.00,7.2352e-15
1246.00,6.7838e-15
1247.00,6.5501e-15
1248.00,6.6253e-15
1249.00,6.5601e-15
1250.00,6.4565e-15
1251.00,6.3312e-15
1252.00,6.3866e-15
1253.00,6.5402e-15
1254.00,6.3659e-15
1255.00,6.7122e-15
1256.00,6.5571e-15
1257.00,6.3516e-15
1258.00,5.3969e-15
1259.00,4.0640e-15
1260.00,3.4831e-15
1261.00,4.2783e-15
1262.00,5.5703e-15
1263.00,6.8545e-15
1264.00,7.4373e-15
1265.00,7.3487e-15
1266.00,7.6382e-15
1267.00,7.1114e-15
1268.00,6.7947e-15
1269.00,6.8547e-15
1270.00,6.8600e-15
1271.00,6.9224e-15
1272.00,7.0084e-15
1273.00,7.1836e-15
1274.00,7.1929e-15
1275.00,6.8717e-15
1276.00,6.8216e-15
1277.00,6.6108e-15
1278.00,7.0128e-15
1279.00,6.8774e-15
1280.00,6.9664e-15
1281.00,7.0053e-15
1282.00,6.8146e-15
1283.00,6.9795e-15
1284.00,7.0443e-15
1285.00,6.9175e-15
1286.00,6.8214e-15
1287.00,7.0336e-15
1288.00,6.9333e-15
1289.00,7.2419e-15
1290.00,6.9898e-15
1291.00,7.0685e-15
1292.00,6.7332e-15
1293.00,6.9908e-15
1294.00,6.7137e-15
1295.00,6.3753e-15
1296.00,6.4152e-15
1297.00,6.4345e-15
1298.00,6.1675e-15
1299.00,5.9538e-15
1300.00,5.2136e-15
1301.00,4.1745e-15
1302.00,3.3140e-15
1303.00,3.5040e-15
1304.00,4.3587e-15
1305.00,6.0910e-15
1306.00,7.0771e-15
1307.00,7.5508e-15
1308.00,7.4832e-15
1309.00,8.3644e-15
1310.00,8.1714e-15
1311.00,7.6267e-15
1312.00,7.3246e-15
1313.00,7.2954e-15
1314.00,7.1532e-15
1315.00,7.1528e-15
1316.00,7.1617e-15
1317.00,7.0392e-15
1318.00,7.2231e-15
1319.00,7.4002e-15
1320.00,7.3566e-15
1321.00,7.1733e-15
1322.00,7.0002e-15
1323.00,6.9802e-15
1324.00,6.9907e-15
1325.00,6.9939e-15
1326.00,7.2264e-15
1327.00,7.2190e-15
1328.00,6.9812e-15
1329.00,7.2937e-15
1330.00,7.1132e-15
1331.00,6.7776e-15
1332.00,5.5851e-15
1333.00,4.2674e-15
1334.00,3.6882e-15
1335.00,4.5505e-15
1336.00,6.1645e-15
1337.00,7.0835e-15
1338.00,7.3108e-15
1339.00,7.4695e-15
1340.00,7.1993e-15
1341.00,7.1035e-15
1342.00,7.1878e-15
1343.00,6.6753e-15
1344.00,7.0266e-15
1345.00,7.1172e-15
1346.00,7.3709e-15
1347.00,7.4853e-15
1348.00,7.2646e-15
1349.00,7.1261e-15
1350.00,7.2610e-15
1351.00,7.0358e-15
1352.00,7.3060e-15
1353.00,7.2777e-15
1354.00,7.3157e-15
1355.00,7.3066e-15
1356.00,7.1882e-15
1357.00,7.2381e-15
1358.00,7.2089e-15
1359.00,7.0410e-15
1360.00,7.2298e-15
1361.00,7.3884e-15
1362.00,6.9639e-15
1363.00,7.2597e-15
1364.00,7.3516e-15
1365.00,6.9980e-15
1366.00,7.0924e-15
1367.00,7.1553e-15
1368.00,7.1904e-15
1369.00,7.0012e-15
1370.00,6.8122e-15
1371.00,7.1358e-15
1372.00,7.0751e-15
1373.00,6.9362e-15
1374.00,7.1778e-15
1375.00,6.8821e-15
1376.00,7.0132e-15
1377.00,7.0928e-15
1378.00,7.1423e-15
1379.00,7.0224e-15
1380.00,6.8991e-15
1381.00,6.8843e-15
1382.00,7.1130e-15
1383.00,6.8666e-15
1384.00,6.9473e-15
1385.00,6.8772e-15
1386.00,6.8252e-15
1387.00,6.7109e-15
1388.00,6.3804e-15
1389.00,6.5566e-15
1390.00,6.4580e-15
1391.00,5.8869e-15
1392.00,4.9324e-15
1393.00,4.4861e-15
1394.00,5.1725e-15
1395.00,5.8897e-15
1396.00,6.3724e-15
1397.00,6.6309e-15
1398.00,6.8931e-15
1399.00,6.6381e-15
1400.00,6.2323e-15
1401.00,6.0141e-15
1402.00,5.4068e-15
1403.00,5.7111e-15
1404.00,6.3495e-15
1405.00,7.4386e-15
1406.00,7.2178e-15
1407.00,7.3993e-15
1408.00,7.2723e-15
1409.00,6.7520e-15
1410.00,6.7709e-15
1411.00,7.3581e-15
1412.00,7.1941e-15
1413.00,7.0207e-15
1414.00,6.6365e-15
1415.00,6.8581e-15
1416.00,6.8720e-15
1417.00,7.0009e-15
1418.00,6.8537e-15
1419.00,6.9401e-15
1420.00,6.8292e-15
1421.00,6.8162e-15
1422.00,7.0091e-15
1423.00,7.1328e-15
1424.00,6.8831e-15
1425.00,7.1226e-15
1426.00,7.1610e-15
1427.00,7.0837e-15
1428.00,6.8836e-15
1429.00,6.8968e-15
1430.00,6.8376e-15
1431.00,6.8382e-15
1432.00,6.8621e-15
1433.00,6.9779e-15
1434.00,7.2296e-15
1435.00,7.2811e-15
1436.00,7.1305e-15
1437.00,6.7662e-15
1438.00,6.8495e-15
1439.00,7.1404e-15
1440.00,6.9902e-15
1441.00,7.1982e-15
1442.00,7.2009e-15
1443.00,7.1961e-15
1444.00,7.2807e-15
1445.00,6.8121e-15
1446.00,6.8555e-15
1447.00,6.7253e-15
1448.00,6.5859e-15
1449.00,7.0939e-15
1450.00,7.1253e-15
1451.00,6.9134e-15
1452.00,6.8443e-15
1453.00,6.8512e-15
1454.00,6.7416e-15
1455.00,6.5475e-15
1456.00,6.7327e-15
1457.00,6.9869e-15
1458.00,6.8413e-15
1459.00,6.9923e-15
1460.00,6.9001e-15
1461.00,6.8246e-15
1462.00,7.2891e-15
1463.00,7.3728e-15
1464.00,6.9317e-15
1465.00,6.9420e-15
1466.00,7.0715e-15
1467.00,6.7713e-15
1468.00,7.0327e-15
1469.00,6.8839e-15
1470.00,7.0854e-15
1471.00,6.8721e-15
1472.00,7.0330e-15
1473.00,7.1937e-15
1474.00,7.0368e-15
1475.00,6.9654e-15
1476.00,6.9410e-15
1477.00,6.7492e-15
1478.00,6.7081e-15
1479.00,6.6634e-15
1480.00,6.7334e-15
1481.00,6.7998e-15
1482.00,6.8873e-15
1483.00,6.8568e-15
1484.00,6.7486e-15
1485.00,7.2122e-15
1486.00,6.7433e-15
1487.00,7.0425e-15
1488.00,7.1429e-15
1489.00,6.9759e-15
1490.00,7.0227e-15
1491.00,6.8641e-15
1492.00,6.8956e-15
1493.00,6.9086e-15
1494.00,7.0407e-15
1495.00,6.7722e-15
1496.00,7.0267e-15
1497.00,6.7128e-15
1498.00,6.8608e-15
1499.00,7.0043e-15
1500.00,6.5595e-15
1501.00,6.3266e-15
1502.00,6.0782e-15
1503.00,6.4846e-15
1504.00,6.6250e-15
1505.00,6.6547e-15
1506.00,6.3922e-15
1507.00,7.0188e-15
1508.00,6.8992e-15
1509.00,6.8923e-15
1510.00,6.6127e-15
1511.00,6.5706e-15
1512.00,6.5407e-15
1513.00,6.5993e-15
1514.00,6.5003e-15
1515.00,6.4436e-15
1516.00,6.3718e-15
1517.00,6.4618e-15
1518.00,6.7025e-15
1519.00,6.5903e-15
1520.00,6.7981e-15
1521.00,6.6867e-15
1522.00,6.4896e-15
1523.00,6.5220e-15
1524.00,5.5276e-15
1525.00,4.2189e-15
1526.00,3.9565e-15
1527.00,4.1562e-15
1528.00,5.1172e-15
1529.00,6.0469e-15
1530.00,6.2768e-15
1531.00,6.3310e-15
1532.00,6.6450e-15
1533.00,7.0887e-15
1534.00,7.5218e-15
1535.00,7.0620e-15
1536.00,6.2110e-15
1537.00,5.8975e-15
1538.00,6.0140e-15
1539.00,5.8527e-15
1540.00,5.8805e-15
1541.00,5.7911e-15
1542.00,5.6121e-15
1543.00,5.5088e-15
1544.00,5.3659e-15
1545.00,5.2776e-15
1546.00,4.4685e-15
1547.00,3.8923e-15
1548.00,4.0894e-15
1549.00,4.4206e-15
1550.00,4.9736e-15
1551.00,6.0602e-15
1552.00,7.0098e-15
1553.00,7.3925e-15
1554.00,6.9908e-15
1555.00,6.9779e-15
1556.00,6.8834e-15
1557.00,6.5501e-15
1558.00,6.4871e-15
1559.00,6.6596e-15
1560.00,6.5518e-15
1561.00,6.0894e-15
1562.00,6.2214e-15
1563.00,6.2511e-15
1564.00,6.4496e-15
1565.00,6.3228e-15
1566.00,5.9701e-15
1567.00,6.2748e-15
1568.00,6.6290e-15
1569.00,6.2271e-15
1570.00,6.3716e-15
1571.00,6.4894e-15
1572.00,6.6485e-15
1573.00,6.6621e-15
1574.00,6.5722e-15
1575.00,6.4745e-15
1576.00,6.1752e-15
1577.00,6.2946e-15
1578.00,6.4857e-15
1579.00,6.2378e-15
1580.00,6.2087e-15
1581.00,6.3122e-15
1582.00,6.3626e-15
1583.00,6.4993e-15
1584.00,6.7778e-15
1585.00,6.5028e-15
1586.00,6.6570e-15
1587.00,6.8784e-15
1588.00,6.8002e-15
1589.00,6.5305e-15
1590.00,6.6203e-15
1591.00,6.3378e-15
