a,b
2876,4.331229E-14
2882,4.310945E-14
2888,4.243665E-14
2894,4.237868E-14
2900,4.129770E-14
2906,4.103687E-14
2912,4.085392E-14
2918,4.241755E-14
2924,4.331142E-14
2930,4.050156E-14
2936,3.804600E-14
2942,3.882555E-14
2948,4.000288E-14
2954,4.012237E-14
2960,3.920957E-14
2966,3.923129E-14
2972,3.963373E-14
2978,3.955947E-14
2984,3.923888E-14
2990,3.912928E-14
2996,3.965757E-14
3002,3.898577E-14
3008,3.938536E-14
3014,4.016340E-14
3020,3.893081E-14
3026,4.001429E-14
3032,3.930827E-14
3038,3.786242E-14
3044,3.662212E-14
3050,3.662503E-14
3056,3.623213E-14
3062,3.725217E-14
3068,3.779784E-14
3074,3.823014E-14
3080,3.849302E-14
3086,3.757155E-14
3092,3.844048E-14
3098,3.797473E-14
3104,3.701312E-14
3110,3.632923E-14
3116,3.648732E-14
3122,3.717853E-14
3128,3.963086E-14
3134,3.850475E-14
3140,3.664488E-14
3146,3.608408E-14
3152,3.609112E-14
3158,3.572542E-14
3164,3.603097E-14
3170,3.399660E-14
3176,3.314644E-14
3182,3.386361E-14
3188,3.728249E-14
3194,3.658191E-14
3200,3.451244E-14
3206,3.381464E-14
3212,3.386187E-14
3218,3.331780E-14
3224,3.369324E-14
3230,3.329189E-14
3236,3.210937E-14
3242,3.187323E-14
3248,3.019201E-14
3254,3.087695E-14
3260,3.308744E-14
3266,3.289735E-14
3272,3.053676E-14
3278,2.947554E-14
3284,3.065782E-14
3290,3.154164E-14
3296,3.156007E-14
3302,3.160630E-14
3308,3.060897E-14
3314,3.035407E-14
3320,3.119939E-14
3326,3.011622E-14
3332,2.847871E-14
3338,2.866615E-14
3344,2.957032E-14
3350,2.959282E-14
3356,3.023906E-14
3362,2.992515E-14
3368,2.942447E-14
3374,2.914728E-14
3380,2.860439E-14
3386,2.861437E-14
3392,2.941927E-14
3398,2.998333E-14
3404,2.954814E-14
3410,2.900981E-14
3416,3.113322E-14
3422,3.137631E-14
3428,3.032859E-14
3434,2.891260E-14
3440,2.862396E-14
3446,2.995080E-14
3452,2.901035E-14
3458,2.723746E-14
3464,2.764190E-14
3470,2.862545E-14
3476,2.799866E-14
3482,2.810339E-14
3488,2.828785E-14
3494,2.832224E-14
3500,2.825723E-14
3506,2.691974E-14
3512,2.624001E-14
3518,2.711441E-14
3524,2.723209E-14
3530,2.625839E-14
3536,2.528377E-14
3542,2.597260E-14
3548,2.713031E-14
3554,2.676692E-14
3560,2.608667E-14
3566,2.653129E-14
3572,2.621410E-14
3578,2.602718E-14
3584,2.615788E-14
3590,2.627047E-14
3596,2.675541E-14
3602,2.666154E-14
3608,2.630119E-14
3614,2.588690E-14
3620,2.508779E-14
3626,2.469836E-14
3632,2.470458E-14
3638,2.477563E-14
3644,2.513446E-14
3650,2.423195E-14
3656,2.345613E-14
3662,2.379978E-14
3668,2.404421E-14
3674,2.425943E-14
3680,2.396962E-14
3686,2.341721E-14
3692,2.397219E-14
3698,2.508009E-14
3704,2.491620E-14
3710,2.384596E-14
3716,3.092408E-14
3722,4.654602E-14
3728,4.578896E-14
3734,3.061937E-14
3740,2.662375E-14
3746,2.604947E-14
3752,2.542594E-14
3758,2.783132E-14
3764,2.752463E-14
3770,2.630613E-14
3776,2.916335E-14
3782,3.020837E-14
3788,2.814460E-14
3794,2.536241E-14
