a,b
0.3500000,1.1999997E+002
0.3500100,1.1999256E+002
0.3500200,1.1998514E+002
0.3500300,1.1997773E+002
0.3500400,1.1997031E+002
0.3500500,1.1996290E+002
0.3500600,1.1995549E+002
0.3500700,1.1994808E+002
0.3500800,1.1994068E+002
0.3500900,1.1993327E+002
0.3501000,1.1992586E+002
0.3501100,1.1991846E+002
0.3501200,1.1991106E+002
0.3501300,1.1990366E+002
0.3501400,1.1989626E+002
0.3501500,1.1988886E+002
0.3501600,1.1988146E+002
0.3501700,1.1987407E+002
0.3501800,1.1986667E+002
0.3501900,1.1985928E+002
0.3502000,1.1985189E+002
0.3502100,1.1984450E+002
0.3502200,1.1983711E+002
0.3502300,6.6328574E+002
0.3502400,1.1982234E+002
0.3502500,1.1981495E+002
0.3502600,1.1980757E+002
0.3502700,8.1205221E+002
0.3502800,1.1979281E+002
0.3502900,1.1978543E+002
0.3503000,1.1977805E+002
0.3503100,1.1977068E+002
0.3503200,1.1976330E+002
0.3503300,1.1975593E+002
0.3503400,1.1974856E+002
0.3503500,1.1974118E+002
0.3503600,1.1973381E+002
0.3503700,1.1972645E+002
0.3503800,1.1971908E+002
0.3503900,1.1971171E+002
0.3504000,1.1970435E+002
0.3504100,1.1969699E+002
0.3504200,1.1968963E+002
0.3504300,1.1968227E+002
0.3504400,1.1967491E+002
0.3504500,1.1966755E+002
0.3504600,1.1966020E+002
0.3504700,1.1965284E+002
0.3504800,6.2680650E+002
0.3504900,1.1963814E+002
0.3505000,1.1963079E+002
0.3505100,1.1962344E+002
0.3505200,1.1961609E+002
0.3505300,6.3824076E+002
0.3505400,1.1960140E+002
0.3505500,1.1959405E+002
0.3505600,1.1958671E+002
0.3505700,8.3230839E+002
0.3505800,1.1957203E+002
0.3505900,1.1956469E+002
0.3506000,1.1955736E+002
0.3506100,1.1955002E+002
0.3506200,1.1954269E+002
0.3506300,1.1953536E+002
0.3506400,1.1952802E+002
0.3506500,1.1952069E+002
0.3506600,1.1951337E+002
0.3506700,1.1950604E+002
0.3506800,1.1949871E+002
0.3506900,1.1949139E+002
0.3507000,1.1948406E+002
0.3507100,1.1947674E+002
0.3507200,1.1946942E+002
0.3507300,1.1946210E+002
0.3507400,1.1945479E+002
0.3507500,1.1944747E+002
0.3507600,1.1944015E+002
0.3507700,1.1943284E+002
0.3507800,1.1942553E+002
0.3507900,1.1941822E+002
0.3508000,1.1941091E+002
0.3508100,1.1940360E+002
0.3508200,1.1939629E+002
0.3508300,1.1938899E+002
0.3508400,1.1938168E+002
0.3508500,1.1937438E+002
0.3508600,1.1936708E+002
0.3508700,1.1935978E+002
0.3508800,1.1935248E+002
0.3508900,6.4073420E+002
0.3509000,1.1933789E+002
0.3509100,1.1933059E+002
0.3509200,1.1932330E+002
0.3509300,1.1931601E+002
0.3509400,1.1930872E+002
0.3509500,1.1930143E+002
0.3509600,1.1929414E+002
0.3509700,1.1928686E+002
0.3509800,7.3045459E+002
0.3509900,1.1927229E+002
0.3510000,1.1926501E+002
0.3510100,1.1925773E+002
0.3510200,1.1925045E+002
0.3510300,1.1924317E+002
0.3510400,1.1923589E+002
0.3510500,1.1922862E+002
0.3510600,1.1922134E+002
0.3510700,1.1921407E+002
0.3510800,1.1920680E+002
0.3510900,1.1919953E+002
0.3511000,1.1919226E+002
0.3511100,1.1918499E+002
0.3511200,1.1917773E+002
0.3511300,1.1917046E+002
0.3511400,1.1916320E+002
0.3511500,1.1915594E+002
0.3511600,1.1914868E+002
0.3511700,1.1914142E+002
0.3511800,1.1913416E+002
0.3511900,1.1912690E+002
0.3512000,1.1911965E+002
0.3512100,8.9048541E+002
0.3512200,1.1910514E+002
0.3512300,1.1909789E+002
0.3512400,1.1909064E+002
0.3512500,1.1908339E+002
0.3512600,1.1907615E+002
0.3512700,1.1906890E+002
0.3512800,1.1906166E+002
0.3512900,3.9794042E+002
0.3513000,1.1904717E+002
0.3513100,1.1903993E+002
0.3513200,1.1903270E+002
0.3513300,1.1902546E+002
0.3513400,1.1901822E+002
0.3513500,1.1901099E+002
0.3513600,1.1900376E+002
0.3513700,1.1899652E+002
0.3513800,1.1898929E+002
0.3513900,1.1898206E+002
0.3514000,1.1897484E+002
0.3514100,1.1896761E+002
0.3514200,1.1896039E+002
0.3514300,1.1895316E+002
0.3514400,1.1894594E+002
0.3514500,1.1893872E+002
0.3514600,1.1893150E+002
0.3514700,1.1892428E+002
