a,b
0.3500000,1.1988010E+004
0.3500100,1.1986202E+004
0.3500200,1.1984395E+004
0.3500300,1.1982587E+004
0.3500400,1.1980780E+004
0.3500500,1.1978973E+004
0.3500600,1.1977166E+004
0.3500700,1.1975359E+004
0.3500800,1.1973553E+004
0.3500900,1.1971746E+004
0.3501000,1.1969940E+004
0.3501100,1.1968134E+004
0.3501200,1.1966328E+004
0.3501300,1.1964523E+004
0.3501400,1.1962717E+004
0.3501500,1.1960912E+004
0.3501600,1.1959106E+004
0.3501700,1.1957301E+004
0.3501800,1.1955496E+004
0.3501900,1.1953692E+004
0.3502000,1.1951887E+004
0.3502100,1.1950083E+004
0.3502200,1.1948279E+004
0.3502300,1.2489930E+004
0.3502400,1.1944671E+004
0.3502500,1.1942867E+004
0.3502600,1.1941063E+004
0.3502700,1.2631512E+004
0.3502800,1.1937457E+004
0.3502900,1.1935654E+004
0.3503000,1.1933851E+004
0.3503100,1.1932048E+004
0.3503200,1.1930245E+004
0.3503300,1.1928443E+004
0.3503400,1.1926641E+004
0.3503500,1.1924839E+004
0.3503600,1.1923037E+004
0.3503700,1.1921235E+004
0.3503800,1.1919433E+004
0.3503900,1.1917632E+004
0.3504000,1.1915831E+004
0.3504100,1.1914029E+004
0.3504200,1.1912229E+004
0.3504300,1.1910428E+004
0.3504400,1.1908627E+004
0.3504500,1.1906827E+004
0.3504600,1.1905026E+004
0.3504700,1.1903226E+004
0.3504800,1.2408587E+004
0.3504900,1.1899627E+004
0.3505000,1.1897827E+004
0.3505100,1.1896028E+004
0.3505200,1.1894228E+004
0.3505300,1.2411061E+004
0.3505400,1.1890630E+004
0.3505500,1.1888831E+004
0.3505600,1.1887033E+004
0.3505700,1.2597963E+004
0.3505800,1.1883436E+004
0.3505900,1.1881638E+004
0.3506000,1.1879840E+004
0.3506100,1.1878042E+004
0.3506200,1.1876245E+004
0.3506300,1.1874447E+004
0.3506400,1.1872650E+004
0.3506500,1.1870853E+004
0.3506600,1.1869056E+004
0.3506700,1.1867259E+004
0.3506800,1.1865462E+004
0.3506900,1.1863666E+004
0.3507000,1.1861870E+004
0.3507100,1.1860073E+004
0.3507200,1.1858277E+004
0.3507300,1.1856482E+004
0.3507400,1.1854686E+004
0.3507500,1.1852890E+004
0.3507600,1.1851095E+004
0.3507700,1.1849300E+004
0.3507800,1.1847505E+004
0.3507900,1.1845710E+004
0.3508000,1.1843916E+004
0.3508100,1.1842121E+004
0.3508200,1.1840327E+004
0.3508300,1.1838533E+004
0.3508400,1.1836739E+004
0.3508500,1.1834945E+004
0.3508600,1.1833151E+004
0.3508700,1.1831358E+004
0.3508800,1.1829564E+004
0.3508900,1.2349160E+004
0.3509000,1.1825978E+004
0.3509100,1.1824185E+004
0.3509200,1.1822393E+004
0.3509300,1.1820600E+004
0.3509400,1.1818808E+004
0.3509500,1.1817016E+004
0.3509600,1.1815224E+004
0.3509700,1.1813432E+004
0.3509800,1.2422815E+004
0.3509900,1.1809848E+004
0.3510000,1.1808057E+004
0.3510100,1.1806266E+004
0.3510200,1.1804475E+004
0.3510300,1.1802684E+004
0.3510400,1.1800893E+004
0.3510500,1.1799103E+004
0.3510600,1.1797312E+004
0.3510700,1.1795522E+004
0.3510800,1.1793732E+004
0.3510900,1.1791942E+004
0.3511000,1.1790153E+004
0.3511100,1.1788363E+004
0.3511200,1.1786574E+004
0.3511300,1.1784785E+004
0.3511400,1.1782996E+004
0.3511500,1.1781207E+004
0.3511600,1.1779418E+004
0.3511700,1.1777629E+004
0.3511800,1.1775841E+004
0.3511900,1.1774053E+004
0.3512000,1.1772265E+004
0.3512100,1.2541850E+004
0.3512200,1.1768689E+004
0.3512300,1.1766902E+004
0.3512400,1.1765114E+004
0.3512500,1.1763327E+004
0.3512600,1.1761540E+004
0.3512700,1.1759753E+004
0.3512800,1.1757966E+004
0.3512900,1.2035066E+004
0.3513000,1.1754393E+004
0.3513100,1.1752607E+004
0.3513200,1.1750821E+004
0.3513300,1.1749035E+004
0.3513400,1.1747249E+004
0.3513500,1.1745464E+004
0.3513600,1.1743678E+004
0.3513700,1.1741893E+004
0.3513800,1.1740108E+004
0.3513900,1.1738323E+004
0.3514000,1.1736538E+004
0.3514100,1.1734754E+004
0.3514200,1.1732969E+004
0.3514300,1.1731185E+004
0.3514400,1.1729401E+004
0.3514500,1.1727617E+004
0.3514600,1.1725833E+004
0.3514700,1.1724050E+004
0.3514800,1.1722266E+004
0.3514900,1.1720483E+004
0.3515000,1.1718700E+004
0.3515100,1.1716917E+004
0.3515200,1.1715134E+004
0.3515300,1.1713352E+004
0.3515400,1.1711569E+004
0.3515500,1.1709787E+004
0.3515600,1.1708005E+004
0.3515700,1.1706223E+004
0.3515800,1.1704441E+004
0.3515900,1.1702660E+004
0.3516000,1.1700878E+004
0.3516100,1.1699097E+004
0.3516200,1.1697316E+004
0.3516300,1.1695535E+004
0.3516400,1.1693754E+004
0.3516500,1.1691974E+004
0.3516600,1.1690193E+004
0.3516700,1.1688413E+004
0.3516800,1.1686633E+004
0.3516900,1.1684853E+004
0.3517000,1.1683073E+004
0.3517100,1.1681293E+004
0.3517200,1.2374317E+004
0.3517300,1.1677735E+004
0.3517400,1.1675955E+004
