a,b
0.3521300,1.8884862E+002
0.3521400,1.8884325E+002
0.3521500,1.8883787E+002
0.3521600,1.8883250E+002
0.3521700,1.8882713E+002
0.3521800,1.8882175E+002
0.3521900,1.8881638E+002
0.3522000,1.8881101E+002
0.3522100,1.8880563E+002
0.3522200,1.8880026E+002
0.3522300,1.8879489E+002
0.3522400,1.8878952E+002
0.3522500,1.8878415E+002
0.3522600,1.8877877E+002
0.3522700,1.8877340E+002
0.3522800,1.8876803E+002
0.3522900,1.8876266E+002
0.3523000,1.8875729E+002
0.3523100,1.8875192E+002
0.3523200,1.8874655E+002
0.3523300,1.8874118E+002
0.3523400,1.8873581E+002
0.3523500,1.8873045E+002
0.3523600,1.8872508E+002
0.3523700,1.8871971E+002
0.3523800,1.8871434E+002
0.3523900,1.8870897E+002
0.3524000,1.8870361E+002
0.3524100,1.8869824E+002
0.3524200,1.8869287E+002
0.3524300,1.8868751E+002
0.3524400,1.8868214E+002
0.3524500,1.8867677E+002
0.3524600,1.8867141E+002
0.3524700,1.8866604E+002
0.3524800,1.8866068E+002
0.3524900,1.8865531E+002
0.3525000,1.8864995E+002
0.3525100,1.8864459E+002
0.3525200,1.8863922E+002
0.3525300,1.8863386E+002
0.3525400,1.8862849E+002
0.3525500,1.8862313E+002
0.3525600,1.8861777E+002
0.3525700,1.8861241E+002
0.3525800,1.8860704E+002
0.3525900,1.8860168E+002
0.3526000,1.8859632E+002
0.3526100,1.8859096E+002
0.3526200,1.8858560E+002
0.3526300,1.8858024E+002
0.3526400,1.8857488E+002
0.3526500,1.8856952E+002
0.3526600,1.8856416E+002
0.3526700,1.8855880E+002
0.3526800,1.8855344E+002
0.3526900,1.8854808E+002
0.3527000,1.8854272E+002
0.3527100,1.8853736E+002
0.3527200,1.8853201E+002
0.3527300,1.8852665E+002
0.3527400,1.8852129E+002
0.3527500,1.8851593E+002
0.3527600,1.8851058E+002
0.3527700,1.8850522E+002
0.3527800,1.8849986E+002
0.3527900,1.8849451E+002
0.3528000,1.8848915E+002
0.3528100,1.8848380E+002
0.3528200,1.8847844E+002
0.3528300,1.8847309E+002
0.3528400,1.8846773E+002
0.3528500,1.8846238E+002
0.3528600,1.8845702E+002
0.3528700,1.8845167E+002
0.3528800,1.8844632E+002
0.3528900,1.8844096E+002
0.3529000,1.8843561E+002
0.3529100,1.8843026E+002
0.3529200,1.8842490E+002
0.3529300,1.8841955E+002
0.3529400,1.8841420E+002
0.3529500,1.8840885E+002
0.3529600,1.8840350E+002
0.3529700,1.8839815E+002
0.3529800,1.8839280E+002
0.3529900,1.8838745E+002
0.3530000,1.8838210E+002
0.3530100,1.8837675E+002
0.3530200,1.8837140E+002
0.3530300,1.8836605E+002
0.3530400,1.8836070E+002
0.3530500,1.8835535E+002
0.3530600,1.8835000E+002
0.3530700,1.8834465E+002
0.3530800,1.8833931E+002
0.3530900,1.8833396E+002
0.3531000,1.8832861E+002
0.3531100,1.8832326E+002
0.3531200,1.8831792E+002
0.3531300,1.8831257E+002
0.3531400,1.8830723E+002
0.3531500,1.8830188E+002
0.3531600,1.8829653E+002
0.3531700,1.8829119E+002
0.3531800,1.8828584E+002
0.3531900,1.8828050E+002
0.3532000,1.8827516E+002
0.3532100,1.8826981E+002
0.3532200,1.8826447E+002
0.3532300,1.8825912E+002
0.3532400,1.8825378E+002
0.3532500,1.8824844E+002
0.3532600,1.8824310E+002
0.3532700,1.8823775E+002
0.3532800,1.8823241E+002
0.3532900,1.8822707E+002
0.3533000,1.8822173E+002
0.3533100,1.8821639E+002
0.3533200,1.8821105E+002
0.3533300,1.8820571E+002
0.3533400,1.8820037E+002
0.3533500,1.8819503E+002
0.3533600,1.8818969E+002
0.3533700,1.8818435E+002
0.3533800,1.8817901E+002
0.3533900,1.8817367E+002
0.3534000,1.8816833E+002
0.3534100,1.8816299E+002
0.3534200,1.8815765E+002
0.3534300,1.8815232E+002
0.3534400,1.8814698E+002
0.3534500,1.8814164E+002
0.3534600,1.8813631E+002
0.3534700,1.8813097E+002
0.3534800,1.8812563E+002
0.3534900,1.8812030E+002
0.3535000,1.8811496E+002
0.3535100,1.8810963E+002
0.3535200,1.8810429E+002
0.3535300,1.8809896E+002
0.3535400,1.8809362E+002
0.3535500,1.8808829E+002
0.3535600,1.8808295E+002
0.3535700,1.8807762E+002
0.3535800,1.8807229E+002
0.3535900,1.8806695E+002
0.3536000,1.8806162E+002
0.3536100,1.8805629E+002
0.3536200,1.8805096E+002
0.3536300,1.8804562E+002
0.3536400,1.8804029E+002
0.3536500,1.8803496E+002
0.3536600,1.8802963E+002
0.3536700,1.8802430E+002
0.3536800,1.8801897E+002
0.3536900,1.8801364E+002
0.3537000,1.8800831E+002
0.3537100,1.8800298E+002
0.3537200,1.8799765E+002
0.3537300,1.8799232E+002
0.3537400,1.8798699E+002
0.3537500,1.8798166E+002
0.3537600,1.8797633E+002
0.3537700,1.8797101E+002
0.3537800,1.8796568E+002
0.3537900,1.8796035E+002
0.3538000,1.8795502E+002
0.3538100,1.8794970E+002
0.3538200,1.8794437E+002
0.3538300,1.8793904E+002
0.3538400,1.8793372E+002
0.3538500,1.8792839E+002
0.3538600,1.8792307E+002
0.3538700,1.8791774E+002
0.3538800,1.8791242E+002
0.3538900,1.8790709E+002
0.3539000,1.8790177E+002
0.3539100,1.8789645E+002
0.3539200,1.8789112E+002
0.3539300,1.8788580E+002
0.3539400,1.8788048E+002
0.3539500,1.8787515E+002
0.3539600,1.8786983E+002
0.3539700,1.8786451E+002
0.3539800,1.8785919E+002
0.3539900,1.8785386E+002
0.3540000,1.8784854E+002
0.3540100,1.8784322E+002
0.3540200,1.8783790E+002
0.3540300,1.8783258E+002
0.3540400,1.8782726E+002
0.3540500,1.8782194E+002
0.3540600,1.8781662E+002
0.3540700,1.8781130E+002
0.3540800,1.8780598E+002
0.3540900,8.1585068E+002
0.3541000,1.8779535E+002
0.3541100,1.8779003E+002
0.3541200,1.8778471E+002
0.3541300,1.8777939E+002
0.3541400,1.8777408E+002
0.3541500,1.8776876E+002
